Groupe,Libelle,Quantite,Mois,Annee,Marge_unitaire,Benefice,Proportion_benefice,Ratio,Ratio_pondere_benefice,Potentiel_croissance
CLT 7-12,Colin sauce oseille et riz,10,9,2020,0.6,6,0.000107392,,,
CLT 7-12,Lasagnes,48,9,2020,0.84,40.32,0.000721676,,,
CLT 7-12,Noix de soja BBQ,40,9,2020,0.32,12.8,0.000229104,,,
CLT 7-12,Pâtes bolognaises,72,9,2020,0.79,56.88,0.001018079,,,
CLT 7-12,Poulet curry et son riz,50,9,2020,0.84,42,0.000751746,,,
CLT 7-12,Thé Silhouette+,120,9,2020,1.72,206.4,0.003694295,,,
CLT 7-12,Tisane CIRCULATION,0,9,2020,1.46,0,0,,,
CLT 7-12,Tisane DIGEST',30,9,2020,1.46,43.8,0.000783964,,,
CLT 7-12,BG-102 Brûleur ampoules,2240,10,2020,7.789,17447.36,0.246646332,,,
CLT 7-12,BG-103 Brûleur flacon,924,10,2020,7.351,6792.324,0.096020361,,,
CLT 7-12,BT-202 Booster,120,10,2020,4.4,528,0.007464124,,,
CLT 7-12,CF-306 Confort féminin,60,10,2020,3.05,183,0.002586998,,,
CLT 7-12,CT-103 Chitosan,1050,10,2020,3.71,3895.5,0.055069121,,,
CLT 7-12,DG-204 Digest,120,10,2020,3.37,404.4,0.005716841,,,
CLT 7-12,DR-104 Dépuratif & Draineur ampoule,1440,10,2020,7.071,10182.24,0.143942244,,,
CLT 7-12,DR-105 Dépuratif & draineur flacon,280,10,2020,6.484,1815.52,0.025665278,,,
CLT 7-12,MC-218 Minceur 3 en 1,896,10,2020,8.763,7851.648,0.110995599,,,
CLT 7-12,MP-115 Minceur plus,420,10,2020,3.99,1675.8,0.023690113,,,
CLT 7-12,MV-215 Multivitamines,150,10,2020,3.45,517.5,0.00731569,,,
CLT 7-12,NP-114 Nopal,4260,10,2020,3.71,15804.6,0.223423293,,,
CLT 7-12,PH-216 pH Balance,90,10,2020,6.86,617.4,0.008727936,,,
CLT 7-12,SE-319 Sérénité,30,10,2020,2.98,89.4,0.001263812,,,
CLT 7-12,SPRAY ANTI-FRINGALE,35,10,2020,6.326,221.41,0.003129984,,,
CLT 7-12,Gel minceur 150ml,10,10,2020,5.41,54.1,0.00076479,,,
CLT 7-12,Barre minceur Hyperprotéinée,80,10,2020,2.55,204,0.002883866,,,
CLT 7-12,BISCUITS SAVEUR BEURRE,510,10,2020,1.36,693.6,0.009805145,,,
CLT 7-12,BISCUITS SAVEUR CHOCOLAT,255,10,2020,1.36,346.8,0.004902573,,,
CLT 7-12,Boules de soja BBQ,200,10,2020,0.47,94,0.00132884,,,
CLT 7-12,Boules de soja chocolat,160,10,2020,0.47,75.2,0.001063072,,,
CLT 7-12,Boules de soja Oignons,80,10,2020,0.47,37.6,0.000531536,,,
CLT 7-12,CEREALES CHOCOLAT,467,10,2020,1.07,499.69,0.007063917,,,
CLT 7-12,CEREALES FRUITS ROUGES,96,10,2020,1.05,100.8,0.001424969,,,
CLT 7-12,CEREALES NATURE,66,10,2020,1.29,85.14,0.00120359,,,
CLT 7-12,Chili con carne,30,10,2020,0.89,26.7,0.000377447,,,
CLT 7-12,Colin sauce oseille et riz,50,10,2020,0.6,30,0.000424098,,,
CLT 7-12,Lasagnes,96,10,2020,0.84,80.64,0.001139975,,,
CLT 7-12,Noix de soja BBQ,0,10,2020,0.32,0,0,,,
CLT 7-12,Pâtes bolognaises,60,10,2020,0.79,47.4,0.000670075,,,
CLT 7-12,Poulet curry et son riz,60,10,2020,0.84,50.4,0.000712485,,,
CLT 7-12,Thé Silhouette+,90,10,2020,1.72,154.8,0.002188346,,,
CLT 7-12,Tisane CIRCULATION,60,10,2020,1.46,87.6,0.001238366,,,
CLT 7-12,Tisane DIGEST',30,10,2020,1.46,43.8,0.000619183,,,
CLT 7-12,BG-102 Brûleur ampoules,1494,11,2020,7.789,11636.766,0.25803118,,,
CLT 7-12,BG-103 Brûleur flacon,674,11,2020,7.351,4954.574,0.109861672,,,
CLT 7-12,BT-202 Booster,30,11,2020,4.4,132,0.00292694,,,
CLT 7-12,CF-306 Confort féminin,0,11,2020,3.05,0,0,,,
CLT 7-12,CT-103 Chitosan,450,11,2020,3.71,1669.5,0.037019139,,,
CLT 7-12,DG-204 Digest,240,11,2020,3.37,808.8,0.01793416,,,
CLT 7-12,DR-104 Dépuratif & Draineur ampoule,560,11,2020,7.071,3959.76,0.087802878,,,
CLT 7-12,DR-105 Dépuratif & draineur flacon,281,11,2020,6.484,1822.004,0.04040073,,,
CLT 7-12,MC-218 Minceur 3 en 1,800,11,2020,8.763,7010.4,0.155447122,,,
CLT 7-12,MP-115 Minceur plus,180,11,2020,3.99,718.2,0.015925214,,,
CLT 7-12,MV-215 Multivitamines,0,11,2020,3.45,0,0,,,
CLT 7-12,NP-114 Nopal,2460,11,2020,3.71,9126.6,0.202371291,,,
CLT 7-12,PH-216 pH Balance,120,11,2020,6.86,823.2,0.018253462,,,
CLT 7-12,SE-319 Sérénité,120,11,2020,2.98,357.6,0.007929347,,,
CLT 7-12,SPRAY ANTI-FRINGALE,0,11,2020,6.326,0,0,,,
CLT 7-12,Gel minceur 150ml,0,11,2020,5.41,0,0,,,
CLT 7-12,Barre minceur Hyperprotéinée,160,11,2020,2.55,408,0.009046905,,,
CLT 7-12,BISCUITS SAVEUR BEURRE,349,11,2020,1.36,474.64,0.010524567,,,
CLT 7-12,BISCUITS SAVEUR CHOCOLAT,210,11,2020,1.36,285.6,0.006332834,,,
CLT 7-12,Boules de soja BBQ,80,11,2020,0.47,37.6,0.000833734,,,
CLT 7-12,Boules de soja chocolat,280,11,2020,0.47,131.6,0.00291807,,,
CLT 7-12,Boules de soja Oignons,40,11,2020,0.47,18.8,0.000416867,,,
CLT 7-12,CEREALES CHOCOLAT,129,11,2020,1.07,138.03,0.003060648,,,
CLT 7-12,CEREALES FRUITS ROUGES,102,11,2020,1.05,107.1,0.002374813,,,
