"code_product","year_month_full","amount"
"CA1162V",2021-11-01,3928.59
"CA1163B",2021-11-01,5329.88
"CA1165A",2021-11-01,47133.01
"CA1166V",2021-11-01,12946.25
"CA1167V",2021-11-01,16513.87
"CA1201A",2021-11-01,46445.06
"CA1202A",2021-11-01,154326.08
"CA1301A",2021-11-01,164034.12
"CA1302A",2021-11-01,325236.54
"CA1303A",2021-11-01,189015.65
"CERCHOC",2021-11-01,20593.12
"CERFRUI",2021-11-01,5863.49
"CERNATU",2021-11-01,3619.96
"GLPSO",2021-11-01,24.09
"GOBDIE",2021-11-01,0
"GOOM002",2021-11-01,5.2
"GOOM003",2021-11-01,13.95
"GOOM005",2021-11-01,107.58
"GOOM006",2021-11-01,0
"GOOS001",2021-11-01,0
"NEW1",2021-11-01,13.89
"PP2216",2021-11-01,539.77
"PP2217B",2021-11-01,3637.54
"PP2218B",2021-11-01,1664
"PP2224B",2021-11-01,1628.11
"PP2272B",2021-11-01,3712.86
"AC1160T",2021-12-01,1328.89
"AC1161T",2021-12-01,715.53
"AC1163T",2021-12-01,2836
"AC1201B",2021-12-01,1684.61
"AC1202B",2021-12-01,811.23
"AC1203B",2021-12-01,658.06
"AC1204B",2021-12-01,333.45
"AC3104B",2021-12-01,4409.63
"AC3105B",2021-12-01,923.4
"AC3106B",2021-12-01,310.63
"AC3107B",2021-12-01,444.2
"AC3191B",2021-12-01,122.54
"AC3192B",2021-12-01,6531.72
"AC3193B",2021-12-01,13874.86
"ACCS009",2021-12-01,0
"AR00067",2021-12-01,124.52
"AR00068",2021-12-01,18.97
"AR00069",2021-12-01,23.13
"ART0082",2021-12-01,16.68
"BOXDIG",2021-12-01,43.1
"BOXDT",2021-12-01,247.87
"BOXFP",2021-12-01,2779.81
"BOXFS",2021-12-01,953.78
"BOXH",2021-12-01,310.32
"BOXHAR",2021-12-01,2.84
"BOXSER",2021-12-01,61.52
"BOXSIL",2021-12-01,67.5
"BOXV",2021-12-01,212.13
"BOXVP",2021-12-01,721.77
"BT4001G",2021-12-01,528.48
"CA1147",2021-12-01,1914.79
"CA1148V",2021-12-01,9606.05
"CA1159A",2021-12-01,139976.41
"CA1160A",2021-12-01,41140.13
"CA1161V",2021-12-01,10123.54
"CA1162V",2021-12-01,1601.84
"CA1163B",2021-12-01,2317.79
"CA1165A",2021-12-01,21811.63
"CA1166V",2021-12-01,5042.97
"CA1167V",2021-12-01,7379.62
"CA1201A",2021-12-01,19844.87
"CA1202A",2021-12-01,75013.56
"CA1301A",2021-12-01,61445.17
"CA1302A",2021-12-01,151195.35
"CA1303A",2021-12-01,132535.3
"CERCHOC",2021-12-01,10771.4
"CERFRUI",2021-12-01,2790.84
"CERNATU",2021-12-01,1610.65
"FT5",2021-12-01,4.17
"GLPSO",2021-12-01,5.46
"GOOM002",2021-12-01,0
"GOOM003",2021-12-01,7.6
"GOOM004",2021-12-01,0.32
"GOOM005",2021-12-01,2.5
"NEW1",2021-12-01,35.82
"PP2216",2021-12-01,211
"PP2217B",2021-12-01,1830.19
"PP2218B",2021-12-01,842.13
"PP2224B",2021-12-01,709.44
"PP2272B",2021-12-01,1813.69
